DataName, VC, IT, IC, VT, RPT100
DataValue,1.44,0.001,0.0073663999999999,0.112555,112.555
DataValue,1.46,0.001,0.0073665,0.112565,112.565
DataValue,1.48,0.001,0.0073659,0.11256,112.56
DataValue,1.5,0.001,0.0073663999999999,0.11256,112.56
DataValue,1.52,0.001,0.0073659,0.11256,112.56
DataValue,1.54,0.001,0.007366,0.11256,112.56
DataValue,1.56,0.001,0.007366,0.112565,112.565
DataValue,1.58,0.001,0.0073649,0.11256,112.56
DataValue,1.6,0.001,0.0073649,0.11256,112.56
DataValue,1.62,0.001,0.0073652,0.11256,112.56
DataValue,1.64,0.001,0.0073641,0.112565,112.565
DataValue,1.66,0.001,0.0073644,0.112555,112.555
DataValue,1.68,0.001,0.0073643,0.112565,112.565
DataValue,1.7,0.001,0.0073644,0.11256,112.56
DataValue,1.72,0.001,0.007364,0.112555,112.555
DataValue,1.74,0.001,0.0073641,0.112565,112.565
DataValue,1.76,0.001,0.0073639,0.112555,112.555
DataValue,1.78,0.001,0.0073644999999999,0.112555,112.555
DataValue,1.8,0.001,0.0073643,0.11256,112.56
DataValue,1.82,0.001,0.0073646,0.11255,112.55
DataValue,1.84,0.001,0.0073644999999999,0.11256,112.56
DataValue,1.86,0.001,0.0073648,0.11256,112.56
DataValue,1.88,0.001,0.0073655,0.11256,112.56
DataValue,1.9,0.001,0.0073663999999999,0.11256,112.56
DataValue,1.92,0.001,0.0073659,0.112565,112.565
DataValue,1.94,0.001,0.0073666,0.112555,112.555
DataValue,1.96,0.001,0.0073667,0.112555,112.555
DataValue,1.98,0.001,0.007367,0.112565,112.565
DataValue,2.0,0.001,0.0073685,0.11256,112.56
DataValue,2.02,0.001,0.0073695,0.112565,112.565
DataValue,2.04,0.001,0.0073704,0.11255,112.55
DataValue,2.06,0.001,0.0073714,0.112555,112.555
DataValue,2.08,0.001,0.0073726,0.11256,112.56
DataValue,2.1,0.001,0.0073736,0.11256,112.56
DataValue,2.12,0.001,0.007376,0.11256,112.56
DataValue,2.14,0.001,0.0073766,0.11256,112.56
DataValue,2.16,0.001,0.0073796999999999,0.11256,112.56
DataValue,2.18,0.001,0.007382,0.112555,112.555
DataValue,2.2,0.001,0.0073843,0.11256,112.56
DataValue,2.22,0.001,0.0073865,0.112555,112.555
DataValue,2.24,0.001,0.0073902,0.112555,112.555
DataValue,2.26,0.001,0.0073922,0.112565,112.565
DataValue,2.28,0.001,0.0073945999999999,0.112565,112.565
DataValue,2.3,0.001,0.0073986,0.11256,112.56
DataValue,2.32,0.001,0.0074033,0.112565,112.565
DataValue,2.34,0.001,0.0074067,0.11256,112.56
DataValue,2.36,0.001,0.0074109,0.112555,112.555
DataValue,2.38,0.001,0.0074159,0.11256,112.56
DataValue,2.4,0.001,0.0074204,0.11256,112.56
DataValue,2.42,0.001,0.007427,0.112555,112.555
DataValue,2.44,0.001,0.007432,0.112555,112.555
DataValue,2.46,0.001,0.0074378,0.112555,112.555
DataValue,2.48,0.001,0.007445,0.11256,112.56
DataValue,2.5,0.001,0.0074521,0.11256,112.56
DataValue,2.52,0.001,0.0074589999999999,0.112555,112.555
DataValue,2.54,0.001,0.0074661,0.11256,112.56
DataValue,2.56,0.001,0.0074735,0.112555,112.555
DataValue,2.58,0.001,0.0074827,0.11257,112.57
DataValue,2.6,0.001,0.0074909,0.11256,112.56
DataValue,2.62,0.001,0.0075011,0.112555,112.555
DataValue,2.64,0.001,0.0075113,0.11256,112.56
DataValue,2.66,0.001,0.0075214,0.112555,112.555
DataValue,2.68,0.001,0.0075332,0.112555,112.555
DataValue,2.7,0.001,0.007545,0.112555,112.555
DataValue,2.72,0.001,0.0075566,0.112565,112.565
DataValue,2.74,0.001,0.0075694,0.11256,112.56
DataValue,2.76,0.001,0.0075833,0.112565,112.565
DataValue,2.78,0.001,0.0075974,0.112555,112.555
DataValue,2.8,0.001,0.0076127,0.11256,112.56
DataValue,2.82,0.001,0.0076287,0.11256,112.56
DataValue,2.84,0.001,0.0076444,0.112565,112.565
DataValue,2.86,0.001,0.0076606,0.112555,112.555
DataValue,2.88,0.001,0.0076795,0.11256,112.56
DataValue,2.9,0.001,0.007698,0.112565,112.565
DataValue,2.92,0.001,0.0077176,0.112555,112.555
DataValue,2.94,0.001,0.0077378,0.112565,112.565
DataValue,2.96,0.001,0.0077584,0.112565,112.565
DataValue,2.98,0.001,0.0077819,0.112565,112.565
DataValue,3.0,0.001,0.0078044,0.11256,112.56
DataValue,3.0,0.001,0.0078034,0.11256,112.56
DataValue,2.98,0.001,0.0077798,0.11256,112.56
DataValue,2.96,0.001,0.007755,0.112565,112.565
DataValue,2.94,0.001,0.0077336,0.112565,112.565
DataValue,2.92,0.001,0.007712,0.112565,112.565
DataValue,2.9,0.001,0.0076917,0.11256,112.56
DataValue,2.88,0.001,0.0076729,0.112555,112.555
DataValue,2.86,0.001,0.0076547,0.112555,112.555
DataValue,2.84,0.001,0.0076365,0.112565,112.565
DataValue,2.82,0.001,0.0076191,0.11256,112.56
DataValue,2.8,0.001,0.0076019,0.112565,112.565
DataValue,2.78,0.001,0.0075869,0.11256,112.56
DataValue,2.76,0.001,0.0075715,0.112555,112.555
DataValue,2.74,0.001,0.0075579,0.112565,112.565
DataValue,2.72,0.001,0.0075448,0.11256,112.56
DataValue,2.7,0.001,0.0075319,0.11256,112.56
DataValue,2.68,0.001,0.0075192,0.11256,112.56
